From,Subject,Urgency,Deserve_Score,Reference,Subject_length,Urgency_Clean
Naruto Uzumaki,Please make my enemies trip on Lego bricks.,HIGH,8.5,Naruto,43,HIGH
Luffy,Meat! And help me find the One Piece!,high,9.0,One Piece,37,HIGH
Light Yagami,"Grant me a world free of crime, shaped by my justice.",high,9.4,Death Note,53,HIGH
Edward Elric,"Let me restore what I lost, even if it breaks me.",high,9.3,Fullmetal Alchemist,49,HIGH
Tanjiro Kamado,Please heal Nezuko and give me strength to help others.,high,,Demon Slayer,55,HIGH
Ichigo Kurosaki,"Give me power to protect everyone, even if it tears me apart.",HIGH,,Bleach,61,HIGH
Sailor Moon,I pray for unlimited rice pudding. Amen.,high,7.5,Sailor Moon,40,HIGH
Goku,Let me fight the strongest opponents in the universe!,HIGH,10.0,Dragon Ball,53,HIGH
Levi Ackerman,No more tea shortages. And a clean death for my comrades.,high,,Attack on Titan,57,HIGH
Spike Spiegel,Please let me forget the past… and find peace in the stars.,low,8.2,Cowboy Bebop,59,LOW
Edward Elric,"Let me restore what I lost, even if it breaks me.",high,8.7,Fullmetal Alchemist,49,HIGH
Nezuko Kamado,(prays silently with a smile for her brother),high,,Demon Slayer,45,HIGH
Rukia Kuchiki,Please let me find my place between two worlds.,High,8.2,Bleach,47,HIGH
Nami,"Oops, forgot my prayer—please fill it in for me!",medium,8.5,One Piece,48,MEDIUM
Shikamaru Nara,"God, can life be a little less troublesome?",high,,Naruto,43,HIGH
Vash the Stampede,"Peace and love, without killing anyone.",HIGH,7.0,Trigun,39,HIGH
Mikasa Ackerman,"Please let Eren be safe, wherever he runs.",,,Attack on Titan,42,
Kenshin Himura,"Grant me atonement, and a peaceful era without my blade.",high,5.0,Rurouni Kenshin,56,HIGH
Gintoki Sakata,"More parfaits, more manga, fewer responsibilities.",,9.8,Gintama,50,
Ash Ketchum,"Let me be the very best, like no one ever was!",high,8.4,Pokemon,46,HIGH
All Might,Please grant me strength to inspire the next generation of heroes.,medium,10.0,My Hero Academia,66,MEDIUM
Killua Zoldyck,Please let me escape my family’s grip and have more chocolate balls.,high,7.3,Hunter x Hunter,68,HIGH
Rem,"Please let Subaru be happy, even if it isn’t with me.",,,Re:Zero,53,
Saitama,Grant me the ability to find matching socks.,medium,7.1,One Punch Man,44,MEDIUM
Yusuke Urameshi,Give me another shot at life… and snacks for Keiko.,LOW,7.0,Yu Yu Hakusho,51,LOW
Shoyo Hinata,Please let me jump higher than anyone else!,,9.3,Haikyuu,43,
Holo,"Apples, good trade deals, and a journey that never ends.",LOW,,Spice and Wolf,56,LOW
Koro-sensei,May my students grow to surpass me.,high,9.0,Assassination Classroom,35,HIGH
Megumin,Explosion magic every day! Nothing else!,high,,KonoSuba,40,HIGH
Rei Ayanami,Purpose. That’s all.,HIGH,7.2,Evangelion,20,HIGH
Vegeta,Make me stronger than Kakarot… or at least make Kakarot weaker.,High,9.0,Dragon Ball,63,HIGH
Mikoto Misaka,Please let me zap away problems without breaking the city again.,high,,Unknown,64,HIGH
Shinji Ikari,Please let me be needed… without hurting anyone.,HIGH,,Evangelion,48,HIGH
Inuyasha,"Let me protect Kagome… and maybe ramen, too.",HIGH,8.0,Inuyasha,44,HIGH
Kagome Higurashi,Please let me balance modern life and feudal era battles.,HIGH,,Inuyasha,57,HIGH
Rintarou Okabe,"Grant me the power to nap anywhere, anytime.",High,6.5,Steins;Gate,44,HIGH
Homura Akemi,Give me another chance to protect Madoka.,medium,7.8,Unknown,41,MEDIUM
Ryuk,"More apples, please! That’s all.",high,5.0,Death Note,32,HIGH
Kaname Madoka,Please save everyone… even if it costs me everything.,HIGH,,Unknown,53,HIGH
Sango,"Protect my brother, and keep my friends safe.",high,9.7,Inuyasha,45,HIGH
Byakuya Kuchiki,"Grant me composure to uphold honor, even if my heart breaks.",high,9.0,Bleach,60,HIGH
Sanosuke Sagara,May my snacks never run out during anime marathons.,high,8.3,Rurouni Kenshin,51,HIGH
