From,Subject,Urgency,Deserve_Score,Reference
Naruto Uzumaki,Please make my enemies trip on Lego bricks.,HIGH,8.5,Naruto
Luffy,Meat! And help me find the One Piece!,high,9,One Piece
Light Yagami,"Grant me a world free of crime, shaped by my justice.",high,9.4,Death Note
Edward Elric,"Let me restore what I lost, even if it breaks me.",high,9.3,Fullmetal Alchemist
Tanjiro Kamado,Please heal Nezuko and give me strength to help others.,high,,Demon Slayer
Ichigo Kurosaki,"Give me power to protect everyone, even if it tears me apart.",HIGH,,Bleach
Sailor Moon,I pray for unlimited rice pudding. Amen.,high,7.5,Sailor Moon
Goku,Let me fight the strongest opponents in the universe!,HIGH,10,Dragon Ball
Levi Ackerman,No more tea shortages. And a clean death for my comrades.,high,,Attack on Titan
Spike Spiegel,Please let me forget the past… and find peace in the stars.,low,8.2,Cowboy Bebop
Edward Elric,"Let me restore what I lost, even if it breaks me.",high,8.7,Fullmetal Alchemist
Nezuko Kamado,(prays silently with a smile for her brother),high,,Demon Slayer
Rukia Kuchiki,Please let me find my place between two worlds.,High,8.2,Bleach
Nami,"Oops, forgot my prayer—please fill it in for me!",medium,8.5,One Piece
Shikamaru Nara,"God, can life be a little less troublesome?",high,seven,Naruto
Vash the Stampede,"Peace and love, without killing anyone.",HIGH,7,Trigun
Mikasa Ackerman,"Please let Eren be safe, wherever he runs.",,five,Attack on Titan
Kenshin Himura,"Grant me atonement, and a peaceful era without my blade.",high,5,Rurouni Kenshin
Gintoki Sakata,"More parfaits, more manga, fewer responsibilities.",,9.8,Gintama
Ash Ketchum,"Let me be the very best, like no one ever was!",high,8.4,Pokemon
All Might,Please grant me strength to inspire the next generation of heroes.,medium,10,My Hero Academia
Killua Zoldyck,Please let me escape my family’s grip and have more chocolate balls.,high,7.3,Hunter x Hunter
Rem,"Please let Subaru be happy, even if it isn’t with me.",,,Re:Zero
Saitama,Grant me the ability to find matching socks.,medium,7.1,One Punch Man
Yusuke Urameshi,Give me another shot at life… and snacks for Keiko.,LOW,7,Yu Yu Hakusho
Shoyo Hinata,Please let me jump higher than anyone else!,,9.3,Haikyuu
Holo,"Apples, good trade deals, and a journey that never ends.",LOW,,Spice and Wolf
Koro-sensei,May my students grow to surpass me.,high,9,Assassination Classroom
Megumin,Explosion magic every day! Nothing else!,high,five,KonoSuba
